Country/region/ international,Institution/Agency,URL,Brief outline of the policy specifying the OS activities,Remarks,Link to a page mentioning OS rewards
Ukraine,The Government of Ukraine,https://mon.gov.ua/storage/app/media/nauka/2023/01/26/National-Open-Science-Plan-Ukraine.pdf,"The plan, approved by the Government of Ukraine, includes integration of open science into national science, research, education, innovation policies and strategies and stipulates working in collaboration with EOSC and Horizon Europe partnerships. The plan sets six main objectives and corresponding activities to be conducted by 2030 by several stakeholders such as the Ministry of Education and Science, Ministry of Digital Transformation, Ministry of Health, National Academy of Sciences, with the leading role of the Ministry of Education and Science and the National Academy of Sciences. These six objectives are as follows: ensuring open access to research results and scientific information; ensuring open access to research infrastructure; creating the conditions for effective work with open scientific information and research infrastructures (e.g., aligning legislation with the EU standards regarding the FAIR research data); popularisation of science and encouraging citizens to participate in scientific activities; improving research assessment; and awareness raising and capacity building on open science skills and competencies.     ",,
Europe,European Commission,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=COM%3A2020%3A628%3AFIN ,"This is the European Commmission’s Communication ‘A new European Research Area (ERA) for Research and Innovation’, where theopen science paradigm, including the EOSC initiative, is directly linked to the new ERA’s objectives and is recognised as an ERA’s means to enhance ‘access to open, free of charge, re-usable scientific information’. The three commitments associated with open science are expressed in Section 2.4.",,
Europe,All European Academies,https://allea.org/open-science/,"As a longstanding proponent of open science, ALLEA has accumulated decades of experience and expertise on fundamental aspects of open science such as legal and ethical considerations, data management in the humanities, and digital research infrastructures. It works together with Member Academies to amplify their voice considering the role of Europe in this global debate. Jointly with them, it gathers evidence and data, foster knowledge, and practices exchange, and formulate common positions in a coherent and timely manner through multiple initiatives.",,
US,NASA,https://smd-cms.nasa.gov/wp-content/uploads/2023/08/smd-information-policy-spd-41a.pdf ,"This a formal policy of the the NASA’s Science Mission Directorate (SMD), which sets mandatory requirements for opening up of publications, research data and software produced as part of SMD-funded research activities.This policy has received a remarkable support for its implementation through the Transform to Open Science (TOPS), a $40 million 5-year programme included in the NASA SMD’s Open-Source Science Initiative. ",,
US,White House Office for Science and Technology Policy (OSTP),https://www.whitehouse.gov/wp-content/uploads/2022/08/08-2022-OSTP-Public-Access-Memo.pdf ,The 2022 memorandum of of the White House Office for Science and Technology Policy (OSTP) provides policy guidance to all federal agencies with research and development expenditures on updating their public access policies in accordance with the following: update their public access policies to make publications and their supporting data resulting from federally funded research publicly accessible without an embargo on their free and public release; establish transparent procedures that ensure scientific and research integrity is maintained in public access policies; and coordinate with OSTP to ensure equitable delivery of federally funded research results and data.,,
US ,Massachusetts Institute of Technology (MIT),https://libraries.mit.edu/scholarly/mit-open-access/open-access-policy/ ,"This is the MIT Faculty OA Policy, which, through an opt-in licence to MIT, allows authors to legally make their final, peer-reviewed manuscripts freely accessible through the open access repository DSpace@MIT and other venues. The policy allows MIT authors to retain control of the copyright. ",,
US ,SPARC,http://datasharing.sparcopen.org,It is a resource for tracking the U.S. federal agencies' public access plans for articles and data sharing requirements.,,
Argentina,National Congress of Argentina,https://repositoriosdigitales.mincyt.gob.ar/files/Ley26899RepositoriosDigitalesING.pdf ,"This is Law No 26.899 ‘Open Access Institutional Digital Repositories’. The law mandates institutions that receive government funds for conducting research to develop interoperable institutional open access repositories, and researchers are required to deposit their research results and data (with maximum embargo of 6 months for publications and 5 years for data). The law also requests a Data Management Plan for projects, which expect to generate research data.",,
Brazil,Fifth Action Plan for the Open Government of Brazil ,https://www.opengovpartnership.org/wp-content/uploads/2020/08/Brazil_Action-Plan_2018-2021_Cycle-Update_EN.pdf ,"This is Brazil’s latest National Action Plan on Open Government (2021-2023). It establishes Commitment 8 to ‘Develop an assessment model to promote Open Science’. The public problems this commitment will address are the lack of basic OS guidelines for funding agencies, lack of metrics for OS actions/practices, and low interoperability of platforms related to science activity. This commitment emerged from the fulfilment of Commitment 3 of Brazil’s Fourth Action Plan, which consisted of establishing scientific data governance mechanisms for the advancement of OS in Brazil.",,
Colombia,"Ministry of Science, Technology and Innovation of Colombia",https://minciencias.gov.co/pdf/pdfreader?url=https://minciencias.gov.co/sites/default/files/politica_nacional_de_ciencia_abierta_-2022_-_version_aprobada.pdf ,"This is the National Open Science Policy 2022-2031. It comprises five sections: an introduction contextualising the policy nationally and internationally, followed by its justification as a tool for knowledge inclusion; a theoretical overview; a diagnosis of open science in Colombia; and proposals for policy objectives and actions, such as creating a system of metrics and incentives to encourage, value and recognise OS practices. The document integrates input from citizens, institutions, and diverse sectors nationwide.",In Spanish,"Specific objective 3 (p. 51): ‘Institute a system of metrics and incentives to promote, value and recognise the Open Science practices, processes and results of the Colombian scientific community and integrate it into the existing models and systems of metrics and incentives of the country's existing STI activities.’"
Chile,"Chilean National Agency for Research and Development (Agencia Nacional de Investigación y Desarrollo de Chile) under the Ministry of Science, Technology, Knowledge and Innovation",https://s3.amazonaws.com/documentos.anid.cl/estudios/Politica_acceso_a_informacion_cientifica_2022.pdf ,"The policy of the Chilean National Agency for Research and Development (ANID) covers such aspects as international context, policy justification focusing on knowledge democratisation, theoretical foundations, and a diagnostic of the country's open science landscape. Additionally, it proposes specific objectives and actions for advancing open science, incorporating citizen input through workshops and focus groups nationwide. ",In Spanish,
Ecuador,"Ministry of Higher Education, Science, Technology and Innovation of Ecuador (Secretaría de Educación Superior, Ciencia, Tecnología e Innovación, Senescyt)",https://drive.google.com/file/d/15-iagBco_GA3t1hQNBFcWxqVCoWvuQ0B/view,"The section ""Co-creation of the national open science and strategic research policy"" outlines Ecuador's commitment to reforming its scientific knowledge creation model. The initiative, spearheaded by the Ministry of Higher Education, Science, Technology and Innovation (Secretaría de Educación Superior, Ciencia, Tecnología e Innovación, Senescyt), aims to address inefficiencies in scientific production and disconnection from societal needs. Through a multi-stakeholder approach, the commitment seeks to develop a national open science policy aligned with UNESCO's recommendations. Short-term objectives include raising awareness, while medium-term goals focus on fostering research and community engagement. This initiative reflects the Open Government Partnership’s values by promoting transparency, accountability, and participation in scientific endeavours, contributing to national and international development agendas.",,
El Salvador,Consortium of University Libraries of El Salvador (CBUES),http://www.redicces.org.sv/jspui/bitstream/10972/1762/1/politica_acceso_abierto.pdf,"Through their Open Access Policy, CBUES, the Consortium of University Libraries, offers universities, scientific and cultural institutions, researchers, teachers and students the Digital Repository of Science and Culture of El Salvador (REDICCES), so that they can deposit a copy of their documents in it, as long as the documents have a scientific, academic, historical or cultural character in order to achieve greater dissemination, visibility, promotion and recognition.",In Spanish,
Mexico,General Congress of the United Mexican States,https://www.repositorionacionalcti.mx/docs/LCyT.pdf,"Decree amending and adding various provisions to the Law on Science and Technology, including articles that establish the State policy concerning Open Access, Access to Scientific, Technological and Innovation Information and the National Repository.",In Spanish ,
Peru,Congress of Peru,https://portal.concytec.gob.pe/images/stories/images2013/portal/areas-institucion/dsic/ley-30035.pdf,"Law creating and regulating the National Open Access Digital Repository of Science, Technology and Innovation. The law establishes the mandatory application of conservation, preservation and open access to the intellectual heritage financed with state resources in the areas of science, technology and innovation. It also supports the development of a national repository of scientific productions and assigns the National Council for Science, Technology and Technological Innovation (Concytec) to be the administrator of the national repository.",In Spanish,
South Korea,Korea Institute of Science and Technology Information (KISTI),https://repository.kisti.re.kr/open-access ,"It is an institutional Open Access Policy, in accordance with which KISTI researchers are required to deposit an electronic copy of either the published version or the AAM of journal articles in the KISTI OA repository with a CC BY-NC licence. The policy permits exceptions and an embargo period. ",,
South Korea,South Korea’s Ministry of Science and ICT ,"https://www.law.go.kr/행정규칙/국가연구개발정보처리기준/(2020-102,20201221)","The National R&D Information Standard, enforced by the Ministry of Science and ICT, includes several sections relevant to open science. Article 23 contains provisions on research data management and Data Management Plan in relation to national R&D projects. In addition, Appendix 1 prescribes 411 metadata elements associated with national R&D projects and their outputs, which must be opened to the public through the NTIS (National Science & Technology Information Service) digital platform.",In Korean,
South Korea,National Research Foundation of Korea (NRF),https://www.nrf.re.kr/cms/board/general/view?nts_no=124731&menu_no=53&nts_no=&search_type=ALL&search_keyword=%EC%97%B0%EA%B5%AC%EB%8D%B0%EC%9D%B4%ED%84%B0&page=%2090      ,"This document is the NRF’s Data Management Plan (DMP) Guideline, which applies only to national R&D projects for which a DMP is deemed necessary (according to the national standard outlined in the previous row, central administrative agencies such as ministries have the discretion to decide which national R&D projects they fund will require a DMP). For such projects, NRF requires researchers to submit a DMP as part of application for R&D project funding. The research data arising from the NRF funding are expected to be managed by a relevant R&D-performing organisation and be shared via a public repository, in accordance with a DMP.",In Korean,
Japan,Cabinet Office (Government of Japan),https://www8.cao.go.jp/cstp/english/sti_basic_plan.pdf ,The 6th Basic Plan of the Government of Japan aims to build a new research system based on the promotion of open science and data-driven research (see Section 2.2 in Chapter 2). Among the concrete measures planned is the development/improvement of a national digital infrastructure for the management and utilisation of research data and the promotion of data policies across institutions.,,
Japan,Cabinet Office (Government of Japan),https://www8.cao.go.jp/cstp/tougosenryaku/togo2023_honbun_eiyaku.pdf ,"The Integrated Innovation Strategy of the Government of Japan includes, among other STI-related objectives, promotion of open access to scholarly publications and scientific data. According to the strategy, the government will develop a national policy to promote immediate open access to scholarly publications and scientific data for which competitive research funds are used, starting from application in FY2025. This decision is based on the commitment made during the G7 Hiroshima Leaders’ Communiqué and the G7 Science and Technology Ministers’ Communiqué in May in 2023.",,
Japan,Japan Science and Technology Agency (JST),https://www.jst.go.jp/EN/about/openscience/policy_openscience_en_r4.pdf ,"This is the 2017 JST Policy on Open Access to Research Publications and Research Data Management. In particular, it specifies that research publications should be made openly available within 12 months of publication (Green OA is recommended). Additionally, it requires to develop a DMP, which should be submitted to JST before the research project begins at the latest. Research data underlying publication should be made openly available, in accordance with DMP.",,
International,UNESCO,https://unesdoc.unesco.org/ark:/48223/pf0000379949 ,"This is the UNESCO Recommendation on Open Science adopted by the General Conference of UNESCO at its 41st session in 2021. This instrument attempts to set a harmonised understanding of open science by providing a definition of open science, defining its core values and guiding principles and proposing seven areas of actions for its operationalisation. ",,p. 27 – Action V: Fostering a culture of open science and aligning incentives for open science
International ,"Research Software Alliance, Netherlands eScience Center",https://zenodo.org/record/7740084#.ZEUYSXZBy3A ,"The Amsterdam Declaration on Funding Research Software Sustainability (2023) is a first step towards formalising, on a global level, the basic principles and recommendations related to funding the sustainability of research software, including the people needed to achieve this goal. ",,"‘Funders should consider the value and impact of research software as a research output in its own right, to facilitate appropriate reward and recognition measures that enable career progression for all people involved.’ (p. 4) "
International ,Coalition for Advancing Research Assessment (CoARA),https://coara.eu/app/uploads/2022/09/2022_07_19_rra_agreement_final.pdf,"The COARA Agreement on Reforming Research Assessment promotes recognition and valorisation of the diversity of research activities and outputs and rewarding behaviour underpinning open science practices, such as early knowledge sharing and open collaboration.",,"‘Recognise the diversity of research activities and practices, with a diversity of outputs, and reward early sharing and open collaboration…’ (p. 4)"
